	P_fluo_1098	P_fluo_1550	P_fluo_4488	P_fluo_513	P_protegens_3295	P_protegens_PBL3	P_putida_4512
GC_00001808	1	1	1	1	1	1	1
GC_00001809	1	1	1	1	1	1	1
GC_00001810	1	1	1	1	1	1	1
GC_00001811	1	1	1	1	1	1	1
GC_00001812	1	1	1	1	1	1	1
GC_00001813	1	1	1	1	1	1	1
GC_00001814	1	1	1	1	1	1	1
GC_00001815	1	1	1	1	1	1	1
GC_00001816	1	1	1	1	1	1	1
GC_00001817	1	1	1	1	1	1	1
GC_00001818	1	1	1	1	1	1	1
GC_00001819	1	1	1	1	1	1	1
GC_00001820	1	1	1	1	1	1	1
GC_00001821	1	1	1	1	1	1	1
GC_00001822	1	1	1	1	1	1	1
GC_00001823	1	1	1	1	1	1	1
GC_00001824	1	1	1	1	1	1	1
GC_00001825	1	1	1	1	1	1	1
GC_00001826	1	1	1	1	1	1	1
GC_00001827	1	1	1	1	1	1	1
GC_00001828	1	1	1	1	1	1	1
GC_00001829	1	1	1	1	1	1	1
GC_00001830	1	1	1	1	1	1	1
GC_00001831	1	1	1	1	1	1	1
GC_00001832	1	1	1	1	1	1	1
GC_00001833	1	1	1	1	1	1	1
GC_00001834	1	1	1	1	1	1	1
GC_00001835	1	1	1	1	1	1	1
GC_00001836	1	1	1	1	1	1	1
GC_00001837	1	1	1	1	1	1	1
GC_00001838	1	1	1	1	1	1	1
GC_00001839	1	1	1	1	1	1	1
GC_00001840	1	1	1	1	1	1	1
GC_00001841	1	1	1	1	1	1	1
GC_00001842	1	1	1	1	1	1	1
GC_00001843	1	1	1	1	1	1	1
GC_00001844	1	1	1	1	1	1	1
GC_00001845	1	1	1	1	1	1	1
GC_00001846	1	1	1	1	1	1	1
GC_00001847	1	1	1	1	1	1	1
GC_00001848	1	1	1	1	1	1	1
GC_00001849	1	1	1	1	1	1	1
GC_00001850	1	1	1	1	1	1	1
GC_00001851	1	1	1	1	1	1	1
GC_00001852	1	1	1	1	1	1	1
GC_00001853	1	1	1	1	1	1	1
GC_00001854	1	1	1	1	1	1	1
GC_00001855	1	1	1	1	1	1	1
GC_00001856	1	1	1	1	1	1	1
GC_00001857	1	1	1	1	1	1	1
GC_00001858	1	1	1	1	1	1	1
GC_00001859	1	1	1	0	1	1	2
GC_00001860	1	1	1	1	1	1	1
GC_00001861	1	1	1	1	1	1	1
GC_00001862	1	1	1	1	1	1	1
GC_00001863	1	1	1	1	1	1	1
GC_00001864	1	1	1	1	1	1	1
GC_00001865	1	1	1	1	1	1	1
GC_00001866	1	1	1	1	1	1	1
GC_00001867	1	1	1	1	1	1	1
GC_00001868	1	1	1	1	1	1	1
GC_00001869	1	1	1	1	1	1	1
GC_00001870	1	1	1	1	1	1	1
GC_00001871	1	1	1	1	1	1	1
GC_00001872	1	1	1	1	1	1	1
GC_00001873	1	1	1	1	1	1	1
GC_00001874	1	1	1	1	1	1	1
GC_00001875	1	1	1	1	1	1	1
GC_00001876	1	1	1	1	1	1	1
GC_00001877	1	1	1	1	1	1	1
GC_00001878	1	1	1	1	1	1	1
GC_00001879	1	1	1	1	1	1	1
GC_00001880	1	1	1	1	1	1	1
GC_00001881	1	1	1	1	1	1	1
GC_00001882	1	1	1	1	1	1	1
GC_00001883	1	1	1	1	1	1	1
GC_00001884	1	1	1	1	1	1	1
GC_00001885	1	1	1	1	1	1	1
GC_00001886	1	1	1	1	1	1	1
GC_00001887	1	1	1	1	1	1	1
GC_00001888	1	1	1	1	1	1	1
GC_00001889	2	0	0	1	1	1	2
GC_00001890	1	1	1	1	1	1	1
GC_00001891	1	1	1	1	1	1	1
GC_00001892	1	1	0	1	2	1	1
GC_00001893	1	1	1	1	1	1	1
GC_00001894	1	1	1	1	1	1	1
GC_00001895	1	1	1	1	1	1	1
GC_00001896	1	1	1	1	1	1	1
GC_00001897	1	1	1	1	1	1	1
GC_00001898	1	1	1	1	1	1	1
GC_00001899	1	1	1	1	1	1	1
GC_00001900	1	1	1	1	1	1	1
GC_00001901	1	1	1	1	1	1	1
GC_00001902	1	1	1	1	1	1	1
GC_00001903	1	1	1	1	1	1	1
GC_00001904	1	1	1	1	1	1	1
GC_00001905	1	1	1	1	1	1	1
GC_00001906	1	1	1	1	1	1	1
GC_00001907	1	1	1	1	1	1	1
GC_00001908	1	1	1	1	1	1	1
GC_00001909	1	1	1	1	1	1	1
GC_00001910	1	1	1	1	1	1	1
GC_00001911	1	1	1	1	1	1	1
GC_00001912	1	1	1	1	1	1	1
GC_00001913	1	1	1	1	1	1	1
GC_00001914	1	1	1	1	1	1	1
GC_00001915	1	1	1	1	1	1	1
GC_00001916	1	1	1	1	1	1	1
GC_00001917	1	1	1	1	1	1	1
GC_00001918	1	1	1	1	1	1	1
GC_00001919	1	1	1	1	1	1	1
GC_00001920	1	1	1	1	1	1	1
GC_00001921	1	1	1	1	1	1	1
GC_00001922	1	1	1	1	1	1	1
GC_00001923	1	1	1	1	1	1	1
GC_00001924	1	1	1	1	1	1	1
GC_00001925	1	1	1	1	1	1	1
GC_00001926	1	1	1	1	1	1	1
GC_00001927	1	1	1	1	1	1	1
GC_00001928	1	1	1	1	1	1	1
GC_00001929	1	1	1	1	1	1	1
GC_00001930	1	1	1	1	1	1	1
GC_00001931	1	1	1	1	1	1	1
GC_00001932	1	1	1	1	1	1	1
GC_00001933	1	1	1	1	1	1	1
GC_00001934	1	1	1	1	1	1	1
GC_00001935	1	1	1	1	1	1	1
GC_00001936	1	1	1	1	1	1	1
GC_00001937	1	1	1	1	1	1	1
GC_00001938	1	1	1	1	1	1	1
GC_00001939	1	1	1	1	1	1	1
GC_00001940	1	1	1	1	1	1	1
GC_00001941	1	1	1	1	1	1	1
GC_00001942	1	1	1	1	1	1	1
GC_00001943	1	1	1	1	1	1	1
GC_00001944	1	1	1	1	1	1	1
GC_00001945	1	1	1	1	1	1	1
GC_00001946	3	0	2	0	0	0	2
GC_00001947	1	0	1	1	1	1	2
GC_00001948	1	1	1	1	1	1	1
GC_00001949	1	1	1	1	1	1	1
GC_00001950	1	1	1	1	1	1	1
GC_00001951	1	1	1	1	1	1	1
GC_00001952	1	1	1	1	1	1	1
GC_00001953	1	1	1	1	1	1	1
GC_00001954	1	1	1	1	1	1	1
GC_00001955	1	1	1	1	1	1	1
GC_00001956	1	1	1	1	1	1	1
GC_00001957	1	1	1	1	1	1	1
GC_00001958	1	1	1	1	1	1	1
GC_00001959	1	1	1	1	1	1	1
GC_00001960	1	1	1	1	1	1	1
GC_00001961	1	1	1	1	1	1	1
GC_00001962	1	1	1	1	1	1	1
GC_00001963	1	1	1	1	1	1	1
GC_00001964	1	1	1	1	1	1	1
GC_00001965	1	1	1	1	1	1	1
GC_00001966	1	1	1	1	1	1	1
GC_00001967	1	1	1	1	1	1	1
GC_00001968	1	1	1	1	1	1	1
GC_00001969	1	1	1	1	1	1	1
GC_00001970	1	1	1	1	1	1	1
GC_00001971	1	1	1	1	1	1	1
GC_00001972	1	1	1	1	1	1	1
GC_00001973	1	1	1	1	1	1	1
GC_00001974	1	1	1	1	1	1	1
GC_00001975	1	1	1	1	1	1	1
GC_00001976	1	1	1	1	1	1	1
GC_00001977	1	1	1	1	1	1	1
GC_00001978	1	1	1	1	1	1	1
GC_00001979	1	1	1	1	1	1	1
GC_00001980	1	1	1	1	1	1	1
GC_00001981	1	1	1	1	1	1	1
GC_00001982	1	1	1	1	1	1	1
GC_00001983	1	1	1	1	1	1	1
GC_00001984	1	1	1	1	1	1	1
GC_00001985	1	1	1	1	1	1	1
GC_00001986	1	1	1	1	1	1	1
GC_00001987	1	1	1	1	1	1	1
GC_00001988	1	1	1	1	1	1	1
GC_00001989	1	1	1	1	1	1	1
GC_00001990	1	1	1	1	1	1	1
GC_00001991	1	1	1	1	1	1	1
GC_00001992	1	1	1	1	1	1	1
GC_00001993	1	1	1	1	1	1	1
GC_00001994	1	1	1	1	1	1	1
GC_00001995	1	1	1	1	1	1	1
GC_00001996	1	1	1	1	1	1	1
GC_00001997	1	1	1	1	1	1	1
GC_00001998	1	1	1	1	1	1	1
GC_00001999	1	1	1	1	1	1	1
GC_00002000	1	1	1	1	1	1	1
GC_00002001	1	1	1	1	1	1	1
GC_00002002	1	1	1	1	1	1	1
GC_00002003	1	1	1	1	1	1	1
GC_00002004	1	1	1	1	1	1	1
GC_00002005	1	1	1	1	1	1	1
GC_00002006	1	1	1	1	1	1	1
GC_00002007	1	1	1	1	1	1	1
GC_00002008	1	1	1	1	1	1	1
GC_00002009	1	1	1	1	1	1	1
GC_00002010	1	1	1	1	1	1	1
GC_00002011	1	1	1	1	1	1	1
GC_00002012	1	1	1	1	1	1	1
GC_00002013	1	1	1	1	1	1	1
GC_00002014	1	1	1	1	1	1	1
GC_00002015	1	1	1	1	1	1	1
GC_00002016	1	1	1	1	1	1	1
GC_00002017	1	1	1	1	1	1	1
GC_00002018	1	1	1	1	1	1	1
GC_00002019	1	1	1	1	1	1	1
GC_00002020	1	1	1	1	1	1	1
GC_00002021	1	1	1	1	1	1	1
GC_00002022	1	1	1	1	1	1	1
GC_00002023	1	1	1	1	1	1	1
GC_00002024	1	1	1	1	1	1	1
GC_00002025	1	1	1	1	1	1	1
GC_00002026	1	1	1	1	1	1	1
GC_00002027	1	1	1	1	1	1	1
GC_00002028	1	1	1	1	1	1	1
GC_00002029	1	1	1	1	1	1	1
GC_00002030	1	1	1	1	1	1	1
GC_00002031	1	1	1	1	1	1	1
GC_00002032	1	1	1	1	1	1	1
GC_00002033	1	1	1	1	1	1	1
GC_00002034	1	1	1	1	1	1	1
GC_00002035	1	1	1	1	1	1	1
GC_00002036	1	1	1	1	1	1	1
GC_00002037	1	1	1	1	1	1	1
GC_00002038	1	1	1	1	1	1	1
GC_00002039	1	1	1	1	1	1	1
GC_00002040	1	1	1	1	1	1	1
GC_00002041	1	1	1	1	1	1	1
GC_00002042	1	1	1	1	1	1	1
GC_00002043	1	1	1	1	1	1	1
GC_00002044	1	1	1	1	1	1	1
GC_00002045	1	1	1	1	1	1	1
GC_00002046	1	1	1	1	1	1	1
GC_00002047	1	1	1	1	1	1	1
GC_00002048	1	1	1	1	1	1	1
GC_00002049	1	1	1	1	1	1	1
GC_00002050	1	1	1	1	1	1	1
GC_00002051	1	1	1	1	1	1	1
GC_00002052	1	1	1	1	1	1	1
GC_00002053	1	1	1	1	1	1	1
GC_00002054	1	1	1	1	1	1	1
GC_00002055	1	1	1	1	1	1	1
GC_00002056	1	1	1	1	1	1	1
GC_00002057	1	1	1	1	1	1	1
GC_00002058	1	1	1	1	1	1	1
GC_00002059	1	1	1	1	1	1	1
GC_00002060	1	1	1	1	1	1	1
GC_00002061	1	1	1	1	1	1	1
GC_00002062	1	1	1	1	1	1	1
GC_00002063	1	1	1	1	1	1	1
GC_00002064	1	1	1	1	1	1	1
GC_00002065	1	1	1	1	1	1	1
GC_00002066	1	1	1	1	1	1	1
GC_00002067	1	1	1	1	1	1	1
GC_00002068	1	1	1	1	1	1	1
GC_00002069	1	1	1	1	1	1	1
GC_00002070	1	1	1	1	1	1	1
GC_00002071	1	1	1	1	1	1	1
GC_00002072	1	1	1	1	1	1	1
GC_00002073	1	1	1	1	1	1	1
GC_00002074	1	1	1	1	1	1	1
GC_00002075	1	1	1	1	1	1	1
GC_00002076	1	1	1	1	1	1	1
GC_00002077	1	1	1	1	1	1	1
GC_00002078	1	1	1	1	1	1	1
GC_00002079	1	1	1	1	1	1	1
GC_00002080	1	1	1	1	1	1	1
GC_00002081	1	1	1	1	1	1	1
GC_00002082	1	1	1	1	1	1	1
GC_00002083	1	1	1	1	1	1	1
GC_00002084	1	1	1	1	1	1	1
GC_00002085	1	1	1	1	1	1	1
GC_00002086	1	1	1	1	1	1	1
GC_00002087	1	1	1	1	1	1	1
GC_00002088	1	1	1	1	1	1	1
GC_00002089	1	1	1	1	1	1	1
GC_00002090	1	1	1	1	1	1	1
GC_00002091	1	1	1	1	1	1	1
GC_00002092	1	1	1	1	1	1	1
GC_00002093	1	1	1	1	1	1	1
GC_00002094	1	1	1	1	1	1	1
GC_00002095	1	1	1	1	1	1	1
GC_00002096	1	1	1	1	1	1	1
GC_00002097	1	1	1	1	1	1	1
GC_00002098	1	1	1	1	1	1	1
GC_00002099	1	1	1	1	1	1	1
GC_00002100	1	1	1	1	1	1	1
GC_00002101	1	1	1	1	1	1	1
GC_00002102	1	1	1	1	1	1	1
GC_00002103	1	1	1	1	1	1	1
GC_00002104	1	1	1	1	1	1	1
GC_00002105	1	1	1	1	1	1	1
GC_00002106	1	1	1	1	1	1	1
GC_00002107	1	1	1	1	1	1	1
GC_00002108	1	1	1	1	1	1	1
GC_00002109	1	1	1	1	1	1	1
GC_00002110	1	1	1	1	1	1	1
GC_00002111	1	1	1	1	1	1	1
GC_00002112	1	1	1	1	1	1	1
GC_00002113	1	1	1	1	1	1	1
GC_00002114	1	1	1	1	1	1	1
GC_00002115	1	1	1	1	1	1	1
GC_00002116	1	1	1	1	1	1	1
GC_00002117	1	1	1	1	1	1	1
GC_00002118	1	1	1	1	1	1	1
GC_00002119	1	1	1	1	1	1	1
GC_00002120	1	1	1	1	1	1	1
GC_00002121	1	1	1	1	1	1	1
GC_00002122	1	1	1	1	1	1	1
GC_00002123	1	1	1	1	1	1	1
GC_00002124	1	1	1	1	1	1	1
GC_00002125	1	1	1	1	1	1	1
GC_00002126	1	1	1	1	1	1	1
GC_00002127	1	1	1	1	1	1	1
GC_00002128	1	1	1	1	1	1	1
GC_00002129	1	1	1	1	1	1	1
GC_00002130	1	1	1	1	1	1	1
GC_00002131	1	1	1	1	1	1	1
GC_00002132	1	1	1	1	1	1	1
GC_00002133	1	1	1	1	1	1	1
GC_00002134	1	1	1	1	1	1	1
GC_00002135	1	1	1	1	1	1	1
GC_00002136	1	1	1	1	1	1	1
GC_00002137	1	1	1	1	1	1	1
GC_00002138	1	1	1	1	1	1	1
GC_00002139	1	1	1	1	1	1	1
GC_00002140	1	1	1	1	1	1	1
GC_00002141	1	1	1	1	1	1	1
GC_00002142	1	1	1	1	1	1	1
GC_00002143	1	1	1	1	1	1	1
GC_00002144	1	1	1	1	1	1	1
GC_00002145	1	1	1	1	1	1	1
GC_00002146	1	1	1	1	1	1	1
GC_00002147	1	1	1	1	1	1	1
GC_00002148	1	1	1	1	1	1	1
GC_00002149	1	1	1	1	1	1	1
GC_00002150	1	1	1	1	1	1	1
GC_00002151	1	1	1	1	1	1	1
GC_00002152	1	1	1	1	1	1	1
GC_00002153	1	1	1	1	1	1	1
GC_00002154	1	1	1	1	1	1	1
GC_00002155	1	1	1	1	1	1	1
GC_00002156	1	1	1	1	1	1	1
GC_00002157	1	1	1	1	1	1	1
GC_00002158	1	1	1	1	1	1	1
GC_00002159	1	1	1	1	1	1	1
GC_00002160	1	1	1	1	1	1	1
GC_00002161	1	1	1	1	1	1	1
GC_00002162	1	1	1	1	1	1	1
GC_00002163	1	1	1	1	1	1	1
GC_00002164	1	1	1	1	1	1	1
GC_00002165	1	1	1	1	1	1	1
GC_00002166	1	1	1	1	1	1	1
GC_00002167	1	1	1	1	1	1	1
GC_00002168	1	1	1	1	1	1	1
GC_00002169	1	1	1	1	1	1	1
GC_00002170	1	1	1	1	1	1	1
GC_00002171	1	1	1	1	1	1	1
GC_00002172	1	1	1	1	1	1	1
GC_00002173	1	1	1	1	1	1	1
GC_00002174	1	1	1	1	1	1	1
GC_00002175	1	1	1	1	1	1	1
GC_00002176	1	1	1	1	1	1	1
GC_00002177	1	1	1	1	1	1	1
GC_00002178	1	1	1	1	1	1	1
GC_00002179	1	1	1	1	1	1	1
GC_00002180	1	1	1	1	1	1	1
GC_00002181	1	1	1	1	1	1	1
GC_00002182	1	1	1	1	1	1	1
GC_00002183	1	1	1	1	1	1	1
GC_00002184	2	0	0	1	1	1	2
GC_00002185	1	1	1	1	1	1	1
GC_00002186	1	1	1	1	1	1	1
GC_00002187	1	1	1	1	1	1	1
GC_00002188	1	1	1	1	1	1	1
GC_00002189	1	1	1	1	1	1	1
GC_00002190	1	0	1	1	2	2	0
GC_00002191	1	1	1	1	1	1	1
GC_00002192	1	1	1	1	1	1	1
GC_00002193	1	1	1	1	1	1	1
GC_00002194	1	1	1	1	1	1	1
GC_00002195	1	1	1	1	1	1	1
GC_00002196	1	1	1	1	1	1	1
GC_00002197	1	1	1	1	1	1	1
GC_00002198	1	1	1	1	1	1	1
GC_00002199	1	1	1	1	1	1	1
GC_00002200	1	1	1	1	1	1	1
GC_00002201	1	1	1	1	1	1	1
GC_00002202	1	1	1	1	1	1	1
GC_00002203	1	1	1	1	1	1	1
GC_00002204	1	1	1	1	1	1	1
GC_00002205	1	1	1	1	1	1	1
GC_00002206	1	1	1	1	1	1	1
GC_00002207	1	1	1	1	1	1	1
GC_00002208	1	1	1	1	1	1	1
GC_00002209	1	1	1	1	1	1	1
GC_00002210	1	1	1	1	1	1	1
GC_00002211	1	1	1	1	1	1	1
GC_00002212	1	1	1	1	1	1	1
GC_00002213	1	1	1	1	1	1	1
GC_00002214	1	1	1	1	1	1	1
GC_00002215	1	1	1	1	1	1	1
GC_00002216	1	1	1	1	1	1	1
GC_00002217	1	1	1	1	1	1	1
GC_00002218	1	1	1	1	1	1	1
GC_00002219	1	1	1	1	1	1	1
GC_00002220	1	1	1	1	1	1	1
GC_00002221	1	1	1	1	1	1	1
GC_00002222	1	1	1	1	1	1	1
GC_00002223	1	1	1	1	1	1	1
GC_00002224	1	1	1	1	1	1	1
GC_00002225	1	1	1	1	1	1	1
GC_00002226	1	1	1	1	1	1	1
GC_00002227	1	1	1	1	1	1	1
GC_00002228	1	1	1	1	1	1	1
GC_00002229	1	1	1	1	1	1	1
GC_00002230	1	1	1	1	1	1	1
GC_00002231	1	1	1	1	1	1	1
GC_00002232	1	1	1	1	1	1	1
GC_00002233	1	1	1	1	1	1	1
GC_00002234	1	1	1	1	1	1	1
GC_00002235	1	1	1	1	1	1	1
GC_00002236	1	1	1	1	1	1	1
GC_00002237	1	1	1	1	1	1	1
GC_00002238	1	1	1	1	1	1	1
GC_00002239	1	1	1	1	1	1	1
GC_00002240	1	1	1	1	1	1	1
GC_00002241	1	1	1	1	1	1	1
GC_00002242	1	1	1	1	1	1	1
GC_00002243	1	1	1	1	1	1	1
GC_00002244	1	1	1	1	1	1	1
GC_00002245	1	1	1	1	1	1	1
GC_00002246	1	1	1	1	1	1	1
GC_00002247	1	1	1	1	1	1	1
GC_00002248	1	1	1	1	1	1	1
GC_00002249	1	1	1	1	1	1	1
GC_00002250	1	1	1	1	1	1	1
GC_00002251	1	1	1	1	1	1	1
GC_00002252	1	1	1	1	1	1	1
GC_00002253	1	1	1	1	1	1	1
GC_00002254	1	1	1	1	1	1	1
GC_00002255	1	1	1	1	1	1	1
GC_00002256	1	1	1	1	1	1	1
GC_00002257	1	1	1	1	1	1	1
GC_00002258	1	1	1	1	1	1	1
GC_00002259	1	1	1	1	1	1	1
GC_00002260	1	1	1	1	1	1	1
GC_00002261	1	1	1	1	1	1	1
GC_00002262	1	1	1	1	1	1	1
GC_00002263	1	1	1	1	1	1	1
GC_00002264	1	1	1	1	1	1	1
GC_00002265	1	1	1	1	1	1	1
GC_00002266	1	1	1	1	1	1	1
GC_00002267	1	1	1	1	1	1	1
GC_00002268	1	1	1	1	1	1	1
GC_00002269	1	1	1	1	1	1	1
GC_00002270	1	1	1	1	1	1	1
GC_00002271	1	1	1	1	1	1	1
GC_00002272	1	1	1	1	1	1	1
GC_00002273	1	1	1	1	1	1	1
GC_00002274	1	1	1	1	1	1	1
GC_00002275	1	1	1	1	1	1	1
GC_00002276	1	1	1	1	1	1	1
GC_00002277	1	1	1	1	1	1	1
GC_00002278	1	1	1	1	1	1	1
GC_00002279	1	1	1	1	1	1	1
GC_00002280	1	1	1	1	1	1	1
GC_00002281	1	1	1	1	1	1	1
GC_00002282	1	1	1	1	1	1	1
GC_00002283	1	1	1	1	1	1	1
GC_00002284	1	1	1	1	1	1	1
GC_00002285	1	1	1	1	1	1	1
GC_00002286	1	1	1	1	1	1	1
GC_00002287	1	1	1	1	1	1	1
GC_00002288	1	1	1	1	1	1	1
GC_00002289	1	1	1	1	1	1	1
GC_00002290	1	1	1	1	1	1	1
GC_00002291	2	2	1	1	0	0	1
GC_00002292	1	1	1	1	1	1	1
GC_00002293	1	1	1	1	1	1	1
GC_00002294	1	1	1	1	1	1	1
GC_00002295	1	1	1	1	1	1	1
GC_00002296	1	1	1	1	1	1	1
GC_00002297	1	1	1	2	1	1	0
GC_00002298	1	1	1	1	1	1	1
GC_00002299	1	1	1	1	1	1	1
GC_00002300	1	1	1	1	1	1	1
GC_00002301	1	1	1	1	1	1	1
GC_00002302	1	1	1	1	1	1	1
GC_00002303	1	1	1	1	1	1	1
GC_00002304	1	1	1	1	1	1	1
GC_00002305	1	1	1	1	1	1	1
GC_00002306	1	1	1	1	1	1	1
GC_00002307	1	0	1	1	1	1	2
GC_00002308	1	1	1	1	1	1	1
GC_00002309	1	1	1	1	1	1	1
GC_00002310	1	1	1	1	1	1	1
GC_00002311	1	1	1	1	1	1	1
GC_00002312	1	1	1	1	1	1	1
GC_00002313	1	1	1	1	1	1	1
GC_00002314	1	1	1	1	1	1	1
GC_00002315	1	1	1	1	1	1	1
GC_00002316	1	1	1	1	1	1	1
GC_00002317	1	1	1	1	1	1	1
GC_00002318	1	1	1	1	1	1	1
GC_00002319	1	1	1	1	1	1	1
GC_00002320	1	1	1	1	1	1	1
GC_00002321	1	1	1	1	1	1	1
GC_00002322	1	1	1	1	1	1	1
GC_00002323	1	1	1	1	1	1	1
GC_00002324	1	1	1	1	1	1	1
GC_00002325	1	1	1	1	1	1	1
GC_00002326	1	1	1	1	1	1	1
GC_00002327	1	1	1	1	1	1	1
GC_00002328	1	1	1	1	1	1	1
GC_00002329	1	1	1	1	1	1	1
GC_00002330	1	1	1	1	1	1	1
GC_00002331	1	1	1	1	1	1	1
GC_00002332	1	1	1	1	1	1	1
GC_00002333	1	1	1	1	1	1	1
GC_00002334	1	1	1	1	1	1	1
GC_00002335	1	1	1	1	1	1	1
GC_00002336	1	1	1	1	1	1	1
GC_00002337	1	1	1	1	1	1	1
GC_00002338	1	1	1	1	1	1	1
GC_00002339	1	1	1	1	1	1	1
GC_00002340	1	1	1	1	1	1	1
GC_00002341	1	1	1	1	1	1	1
GC_00002342	1	1	1	1	1	1	1
GC_00002343	1	1	1	1	1	1	1
GC_00002344	1	1	1	1	1	1	1
GC_00002345	1	1	1	1	1	1	1
GC_00002346	0	2	0	1	2	2	0
GC_00002347	1	1	1	1	1	1	1
GC_00002348	1	1	1	1	1	1	1
GC_00002349	1	1	1	1	1	1	1
GC_00002350	1	1	1	1	1	1	1
GC_00002351	1	1	1	1	1	1	1
GC_00002352	1	1	1	1	1	1	1
GC_00002353	1	1	1	1	1	1	1
GC_00002354	1	1	1	1	1	1	1
GC_00002355	1	1	1	1	1	1	1
GC_00002356	1	1	1	1	1	1	1
GC_00002357	1	1	1	1	1	1	1
GC_00002358	1	1	1	1	1	1	1
GC_00002359	1	1	1	1	1	1	1
GC_00002360	1	1	1	1	1	1	1
GC_00002361	1	1	1	1	1	1	1
GC_00002362	1	1	1	1	1	1	1
GC_00002363	1	1	1	1	1	1	1
GC_00002364	1	1	1	1	1	1	1
GC_00002365	1	1	1	1	1	1	1
GC_00002366	1	1	1	1	1	1	1
GC_00002367	1	1	1	1	1	1	1
GC_00002368	1	1	1	1	1	1	1
GC_00002369	1	1	1	1	1	1	1
GC_00002370	1	1	1	1	1	1	1
GC_00002371	1	1	1	1	1	1	1
GC_00002372	1	1	1	1	1	1	1
GC_00002373	1	1	1	1	1	1	1
GC_00002374	1	1	1	1	1	1	1
GC_00002375	1	1	1	1	1	1	1
GC_00002376	1	1	1	1	1	1	1
GC_00002377	1	1	1	1	1	1	1
GC_00002378	1	1	1	1	1	1	1
GC_00002379	1	1	1	1	1	1	1
GC_00002380	1	1	1	1	1	1	1
GC_00002381	1	1	1	1	1	1	1
GC_00002382	1	1	1	1	1	1	1
GC_00002383	1	1	1	1	1	1	1
GC_00002384	1	1	1	1	1	1	1
GC_00002385	1	1	1	1	1	1	1
GC_00002386	1	1	1	1	1	1	1
GC_00002387	1	1	1	1	1	1	1
GC_00002388	1	1	1	1	1	1	1
GC_00002389	1	1	1	1	1	1	1
GC_00002390	1	1	1	1	1	1	1
GC_00002391	2	1	1	1	1	1	0
GC_00002392	1	1	1	1	1	1	1
GC_00002393	1	1	1	1	1	1	1
GC_00002394	1	1	1	1	1	1	1
GC_00002395	1	1	1	1	1	1	1
GC_00002396	1	1	1	1	1	1	1
GC_00002397	1	1	1	1	1	1	1
GC_00002398	1	1	1	1	1	1	1
GC_00002399	2	1	2	1	0	0	1
GC_00002400	1	1	1	1	1	1	1
GC_00002401	1	1	1	1	1	1	1
GC_00002402	1	1	1	1	1	1	1
GC_00002403	1	1	1	1	1	1	1
GC_00002404	1	1	1	1	1	1	1
GC_00002405	1	1	1	1	1	1	1
GC_00002406	1	1	1	1	1	1	1
GC_00002407	1	1	1	1	1	1	1
GC_00002408	1	1	1	1	1	1	1
GC_00002409	1	1	1	1	1	1	1
GC_00002410	1	1	1	1	1	1	1
GC_00002411	1	1	1	1	1	1	1
GC_00002412	1	1	1	1	1	1	1
GC_00002413	1	1	1	1	1	1	1
GC_00002414	1	1	1	1	1	1	1
GC_00002415	1	1	1	1	1	1	1
GC_00002416	1	1	1	1	1	1	1
GC_00002417	1	1	1	1	1	1	1
GC_00002418	1	1	1	1	1	1	1
GC_00002419	1	1	1	1	1	1	1
GC_00002420	1	1	1	1	1	1	1
GC_00002421	1	1	1	1	1	1	1
GC_00002422	1	1	1	1	1	1	1
GC_00002423	1	1	1	1	1	1	1
GC_00002424	1	1	1	1	1	1	1
GC_00002425	1	1	1	1	1	1	1
GC_00002426	1	1	1	1	1	1	1
GC_00002427	1	1	1	1	1	1	1
GC_00002428	1	1	1	1	1	1	1
GC_00002429	1	1	1	1	1	1	1
GC_00002430	1	1	1	1	1	1	1
GC_00002431	1	1	1	1	1	1	1
GC_00002432	1	1	1	1	1	1	1
GC_00002433	1	1	1	1	1	1	1
GC_00002434	1	1	1	1	1	1	1
GC_00002435	1	1	1	1	1	1	1
GC_00002436	1	1	1	1	1	1	1
GC_00002437	1	1	1	1	1	1	1
GC_00002438	1	1	1	1	1	1	1
GC_00002439	1	1	1	1	1	1	1
GC_00002440	1	1	1	1	1	1	1
GC_00002441	1	1	1	1	1	1	1
GC_00002442	1	1	1	1	1	1	1
GC_00002443	1	1	1	1	1	1	1
GC_00002444	1	1	1	1	1	1	1
GC_00002445	1	1	1	1	1	1	1
GC_00002446	1	1	1	1	1	1	1
GC_00002447	1	1	1	1	1	1	1
GC_00002448	1	1	1	1	1	1	1
GC_00002449	1	1	1	1	1	1	1
GC_00002450	1	1	1	1	1	1	1
GC_00002451	1	1	1	1	1	1	1
GC_00002452	1	1	1	1	1	1	1
GC_00002453	1	1	1	1	1	1	1
GC_00002454	1	1	1	1	1	1	1
GC_00002455	1	1	1	1	1	1	1
GC_00002456	1	1	1	1	1	1	1
GC_00002457	1	1	1	1	1	1	1
GC_00002458	1	1	1	1	1	1	1
GC_00002459	1	1	1	1	1	1	1
GC_00002460	1	1	1	1	1	1	1
GC_00002461	1	1	1	1	1	1	1
GC_00002462	1	1	1	1	1	1	1
GC_00002463	1	1	1	1	1	1	1
GC_00002464	1	1	1	1	1	1	1
GC_00002465	1	1	1	1	1	1	1
GC_00002466	1	1	1	1	1	1	1
GC_00002467	1	1	1	1	1	1	1
GC_00002468	1	1	1	1	1	1	1
GC_00002469	1	1	1	1	1	1	1
GC_00002470	1	1	1	1	1	1	1
