	P_fluo_1098	P_fluo_1550	P_fluo_4488	P_fluo_513	P_protegens_3295	P_protegens_PBL3	P_putida_4512
GC_00000150	2	1	1	2	1	1	2
GC_00000151	2	1	1	1	2	2	1
GC_00000152	2	1	2	1	1	1	2
GC_00000153	1	1	2	2	1	2	1
GC_00000154	2	2	2	0	1	1	2
GC_00000155	1	1	1	1	2	2	1
GC_00000156	1	1	1	3	1	1	1
GC_00000157	2	2	1	1	0	2	1
GC_00000158	1	1	1	1	1	1	3
GC_00000159	2	1	2	1	1	1	1
GC_00000160	1	1	1	1	1	1	3
GC_00000161	1	1	1	2	1	2	1
GC_00000162	0	2	0	2	2	2	1
GC_00000163	1	1	1	1	1	1	3
GC_00000164	1	3	1	1	1	1	1
GC_00000165	1	1	1	1	2	2	1
GC_00000166	2	1	1	1	1	1	2
GC_00000167	1	1	1	2	1	1	2
GC_00000168	1	1	1	1	2	2	1
GC_00000169	1	1	1	1	2	2	1
GC_00000170	1	2	1	2	1	1	1
GC_00000171	2	1	2	1	1	1	1
GC_00000172	1	0	1	2	2	2	1
GC_00000173	2	1	2	1	1	1	1
GC_00000174	1	1	1	1	2	2	1
GC_00000175	1	2	1	2	1	1	1
GC_00000176	1	1	1	2	1	1	2
GC_00000177	1	1	1	1	2	2	1
GC_00000178	2	1	2	0	1	1	2
GC_00000179	1	1	1	1	2	2	1
GC_00000180	2	1	2	1	1	1	1
GC_00000181	1	1	1	1	2	2	1
GC_00000182	2	1	2	1	1	1	1
GC_00000183	1	1	1	1	2	2	1
GC_00000184	1	1	1	1	2	2	1
GC_00000185	1	1	1	1	2	2	1
GC_00000186	2	1	2	0	1	1	2
GC_00000187	1	1	1	2	1	1	2
GC_00000188	1	3	1	1	1	1	1
GC_00000189	1	1	1	1	2	2	1
GC_00000190	1	1	1	1	2	2	1
GC_00000191	1	1	1	1	2	2	1
GC_00000192	2	1	1	1	1	1	2
GC_00000193	1	2	1	2	1	1	1
GC_00000194	1	1	1	1	2	2	1
GC_00000195	2	1	1	1	2	1	1
GC_00000196	2	2	1	0	1	1	2
GC_00000197	1	2	1	1	2	1	1
GC_00000198	1	1	1	0	2	2	2
GC_00000199	1	1	1	2	2	2	0
GC_00000200	1	1	1	2	1	1	2
GC_00000201	1	1	1	1	3	1	1
GC_00000202	1	2	1	2	1	1	1
GC_00000203	1	1	1	0	1	5	0
GC_00000204	1	1	1	1	2	2	1
GC_00000205	2	1	1	1	1	1	2
GC_00000206	1	0	1	1	1	3	2
GC_00000207	2	1	1	1	1	1	2
GC_00000208	1	1	1	1	2	2	1
GC_00000209	0	2	0	3	1	1	2
GC_00000210	1	1	1	1	2	2	1
GC_00000211	1	1	1	1	2	1	2
GC_00000212	1	1	1	1	2	2	1
GC_00000213	1	1	1	2	2	2	0
GC_00000214	2	2	1	1	1	1	1
GC_00000215	1	0	0	1	1	5	0
GC_00000216	1	1	1	2	1	1	1
GC_00000217	1	4	0	2	0	0	1
GC_00000218	1	1	1	0	2	2	1
GC_00000219	1	1	1	2	1	1	1
GC_00000220	1	2	1	1	1	1	1
GC_00000221	1	1	1	1	1	1	2
GC_00000222	2	1	1	1	1	1	1
